_inputshopbuymultiple;VÁSÁRLÁS
achievement_category_general;Általános
achievement_category_journey;Utazás
achievement_category_levels;Szintek
achievement_category_mastery;Mesteri
achievement_category_ranked;Rangsorolt
achievement_category_seasonal;Szezon
achievement_category_singleplayer;Egyszemélyes játékmód
achievement_complete_love_event;Segíts minden karakternek a szerelem esemény ideje alatt!
achievement_complete_x_aretuza_quests;Teljesíts {0} Aretuzai utazás küldetést!
achievement_complete_x_regis_quests;Teljesíts {0} Regis utazása küldetést!
achievement_geralt_winter_event;Nyerj {0} mérkőzést Geralt karakterének használatával!
achievement_help_x_crones;Segíts {0} fúriának elkészíteni a falusiak ajándékát Saovine ünnepe alatt!
achievement_play_dandelion_first_set_desc;Játssz {0} játékot Kökörcsin stílusos sáljában, vagy elegáns öltözékében!
achievement_play_dandelion_fourth_set_desc;Játssz {0} játékot Kökörcsin utazásának zeneszámával!
achievement_play_dandelion_second_set_desc;Játssz {0} játékot Kökörcsin gombos ingében, vagy utazó bárd kabátjában!
achievement_play_dandelion_third_set_desc;Játssz {0} játékot Kökörcsin vörös rózsacsokrával, vagy koncert aurájával!
achievement_play_vampires_x_matches;Játssz ki vámpírokat {0} mérkőzésben!
achievement_play_x_games_with_aretuza_music;Játssz {0} játékot Aretuzai utazás zeneszámával!
achievement_play_x_games_with_cave;Játssz {0} játékot a Thanedd szigeti barlang tábláján!
achievement_play_x_games_with_classrooms;Játssz {0} játékot az Aretuzai tanterem tábláján!
achievement_play_x_games_with_half_regis;Játssz {0} játékot félig kifejlett Regis formájában!
achievement_play_x_games_with_halls;Játssz {0} játékot bármelyik Aretuzai előcsarnok tábláján!
achievement_play_x_games_with_office;Játssz {0} játékot az igazgatónő irodája tábláján!
achievement_play_x_games_with_regis_ball;Játssz {0} játékot Regis báli ruhájában!
achievement_play_x_games_with_regis_human;Játssz {0} játékot kabátban lévő Regis-szel!
achievement_play_x_games_with_regis_music;Játssz {0} játékot bármelyik Regis utazása zeneszámmal!
achievement_play_x_games_with_vampire_regis;Játssz {0} játékot Regis vámpír formájában!
achievement_points;Pontszám: {0}
achievement_thronebreaker_chest_unlock_desc;Feloldva egy adott láda kinyitásával a Trónbitorlóban.
achievements_all;Összes
achievements_almost_completed;Majdnem teljesítve
achievements_claim;Szegszerzett:
achievements_reward;Jutalom:
achievements_summary;Összegzés
achievements_track;Követés
achievements_tracking;Követett
achievements_unclaimed;Nem megszerzett
active_leader_mill_warning;Nem zúzhatod be az éppen pakliban lévő vezetőt!
advance_loading_screen_hint_1;Ha a forduló elején felhúzott kártyákkal túllépnéd a kézlimited, az extra kártyák második esélyt (újrahúzást) generálnak neked.
advance_loading_screen_hint_10;A képességek balról jobbra kerülnek végrehajtásra, előbb a közelharciak, majd a távolságiak.
advance_loading_screen_hint_11;A kártyák Lehelyezés képessége végrehájtásra kerül, még mielőtt más kártyák passzív képességei hatnának rá.
advance_loading_screen_hint_12;Amikor passzolsz az ellenfeled után, a kör végi képességeid még működésbe fognak lépni.
advance_loading_screen_hint_13;Amikor te vagy a második aki passzol, a forduló automatikusan véget fog érni.
advance_loading_screen_hint_14;Amikor eljő a fehér fagy.... ne egyél a sárga hóból!
advance_loading_screen_hint_15;Ne felejtsd el jelezni a magyarítás készítőjének, ha hibát találsz a fordításban!
advance_loading_screen_hint_16;Minél magasabb a rangod, annál több jutalompontot fogsz kapni a szezon végén.
advance_loading_screen_hint_17;Miután eléred a 7. rangot, a győzelmi sorozataid extra mozaik darabkákat fognak eredményezni.
advance_loading_screen_hint_18;Amikor először eléred a 60. szintet, elölről kezded a szintezést, de több ritka kártyát kapsz a hordókból.
advance_loading_screen_hint_19;Van egy egyedi, végleges Tekintély erősítés minden 60. szintnél.
advance_loading_screen_hint_2;Ha tetszett a meccs, ne felejts egy küldeni egy "Jó meccs" jelzést!
advance_loading_screen_hint_20;A vezető kinézetek csak a hozzájuk illő frakció paklijához párosíthatóak!
advance_loading_screen_hint_21;A második esély hatására lecserélt kártyák visszakerülnek a paklidba.
advance_loading_screen_hint_22;Ne felejtsd el elkölteni a jutalompontokat a Jutalmak Könyvében!
advance_loading_screen_hint_23;Az első Tekintély szintedtől garantáltan legalább 2 ritka kártya lesz a hordóidban, örökké!
advance_loading_screen_hint_24;Nyomon követheted a szerződéseket a játékos profilodban.
advance_loading_screen_hint_25;Megjelölhetsz 3 szerződést a profilodban, hogy ki legyenek emelve.
advance_loading_screen_hint_26;Hogy feljuss a ranglista élére, le kell játszanod legalább 25 meccset 4 frakcióval.
advance_loading_screen_hint_27;Miután eléred az 1. rangot, fentebb léphetsz a "Pro Rank" szintre.
advance_loading_screen_hint_28;A Száműzött kártyáknak nem aktiválódik a Halálvágy képességük, de a Kárhozott egységeknek igen.
advance_loading_screen_hint_29;Nyisd meg a temetődben lévő paklidat, hogy megnézhesd mik találhatóak benne!
advance_loading_screen_hint_3;A szörnyek a rajzásra támaszkodnak, és bekebelezik egymást.
advance_loading_screen_hint_30;Több kártyából is állhat a paklid, mint 25.
advance_loading_screen_hint_31;Az okos pakliépítés a győzelem kulcsa.
advance_loading_screen_hint_32;Gyorsítani akarsz a meccseiden? Kísérletezz az "Ellenfél által kijátszott kártya leírásának megjelenítése" beállítással a beállítások menüben!
advance_loading_screen_hint_33;Abban a ritka esetben, ha nem szeretnél kijátszani egy kártyát sem a körödben, áthúzhatod a feleslegessé vált kártyádat a kezedből a temetődbe.
advance_loading_screen_hint_34;Miután eléred az 1. rangot, fentebb léphetsz a "Pro Rank" szintre. A továbbjutáshoz el kell fogadnod a "Pro Rank" szabályzatát. Ezt bármikor megteheted a beállításokon belül található általános fülön.
advance_loading_screen_hint_35;Ha az Áhítat képessége nem aktiválódik, bizonyosodj meg róla, hogy a kezdőpaklid nem tartalmaz Semleges kártyákat!
advance_loading_screen_hint_36;Bizonyosodj meg róla, hogy az az egység, amit a képeségeddel célozni akarsz, nem egy olyan sorban található, ahol egy Védelmező képességű ellenfél is van!
advance_loading_screen_hint_37;Az egységeid nem kapják meg az erősítést? Ellenőrizd, hogy az ellenfeled nem játszott-e ki egy <b>Irtózatos medvét</b> a szemközti sorra!
advance_loading_screen_hint_38;Az alap kezdőpaklik kártyái nem darálhatóak be, vagy változtathatóak át. Ahhoz, hogy ezeknek a kártyáknak a prémium verzióját beszerezhesd, előbb külön le kell gyártanod őket.
advance_loading_screen_hint_39;A prémium Trónbitorló kártyák csak a "Trónbitorló: Egy Vaják-történet" játékon keresztül szerezhetőek be.
advance_loading_screen_hint_4;Az Északi Királyságok könnyedén túlnőnek az ellenfelükön, ha nem tartják őket ellenőrzés alatt.
advance_loading_screen_hint_40;Nem találsz egy már meglévő kártyát a gyűjteményedben? Bizonyosodj meg róla, hogy alaphelyzetbe állítottál minden szűrőt a pakliépítőben!
advance_loading_screen_hint_41;Minél magasabb a rangod, annál több jutalompontot kapsz a szezon végén! Azonban legalább egy normál mérkőzést játszanod kell hozzá.
advance_loading_screen_hint_42;Feloldottál minden csomópontot a Jutalmak Könyvében? Ne feledd, hogy a megmaradt jutalompontokat be tudod váltani más nyersanyagokra a nyersanyag csere résznél.
advance_loading_screen_hint_43;Az arany kártyákból csak egy másolatod lehet a kezdőpaklidban, azonban különféle módszerekkel tudod többszörözni a mérkőzés alatt ezeket a kártyákat.
advance_loading_screen_hint_44;Az utazás során a 100. szint feletti szintlépés 2 jutalompontot ad szintenként. Vannak az utazáshoz kimondottan 100. szint feletti szerződések is.
advance_loading_screen_hint_5;A nilfgaardiaiak tudják, hogyan fordítsák a saját erősségeidet ellened!
advance_loading_screen_hint_6;Skellige harcosai előnyt kovácsolnak mind saját, mind ellenfelük sérülésiből!
advance_loading_screen_hint_7;Vigyázz a Mókusok csapdáival és rajtaütés taktikájukkal!
advance_loading_screen_hint_8;A Szindikátus a sötét üzelmeihez a saját speciális érméit használja.
advance_loading_screen_hint_9;A Szindikátus érméit bármelyik frakció gyűjtheti.
adventure_eula;GWENT: ZSIVÁNY MÁGUS VÉGFELHASZNÁLÓI LICENCSZERZŐDÉS\nUtoljára frissítve: 2024. január 1.\n\n\nÜdvözlet, mi vagyunk a CD PROJEKT RED! Köszönjük, hogy érdeklődsz a GWENT: Zsivány Mágus iránt! These are the legal rules (we’ll call them “Rules”) which we ask you to follow if you download, install or play the game.\n\nWe’ve also included some informal short summaries of each of these Rules (although remember that it’s the full version which is legally binding).\n\n1. ABOUT THESE RULES\nThese Rules are a legally binding contract between you and CD PROJEKT S.A, with its seat at ul. Jagiellonska 74; 03-301, Warsaw, Poland (we will further call ourselves “CD PROJEKT RED” as CD PROJEKT S.A. is the legal entity CD PROJEKT RED is part of) regarding your use of GWENT: Rogue Mage. IMPORTANT: please also read our CD PROJEKT RED User Agreement which sets out the basic legal rules for most of our games and services, including this game. Our Privacy Policy describes how we collect, use and protect any personal information gathered from users. These Rules also supplement any terms and conditions of any digital distribution platforms, which you might use to download and play GWENT: Rogue Mage.\n\nThis is a legal agreement between you, dear gamer, and us, i.e. CD PROJEKT RED, regarding GWENT: Rogue Mage. There is also another document called CD PROJEKT RED User Agreement that sets out the rules for our games and services. These rules will also apply to your use of GWENT: Rogue Mage, so please read them as well!\n\n2. WHAT YOU GET WITH THE GAME\nWe (meaning CD PROJEKT RED) give you the personal right (called a 'licence' legally) to download, install and play GWENT: Rogue Mage on your personal device as long as you follow these Rules. This licence is for your personal use only (so you can't give a sublicense to someone else) and doesn't give you ownership rights.\nAt all times we continue to own the entirety of GWENT: Rogue Mage, all in-game content, any updates or additional content for them, manuals or other materials about them and the intellectual property rights in them, including all copyright, trademarks, patents and legal things like that (all of this together we call the ‘Game’).\n\nWe grant you the right to play GWENT: Rogue Mage and we sincerely hope you will enjoy it. We spent quite some time developing this game, so let us add that it is our creation and remains our ownership. This will not limit you in having fun with it, will it? ;)\n\n3. WHAT YOU CAN'T DO WITH THE GAME\nPlease act reasonably and don’t do anything with the Game that is against the law, these Rules or CD PROJEKT RED User Agreement. A general list of what you should not do with any of our games and services may be found in the CD PROJEKT RED User Agreement.\n\nThere are some things that we are not okay with, though, such as decompiling the game – you will find more examples of things you should not do in our CD PROJEKT RED User Agreement.\n\n4. WHAT CONTENT YOU CAN CREATE\nPlease refer to our Fan Content Guidelines for information on when/how you can make community-generated content connected with the Game (e.g. fan art, websites, videos/streams/Let’s Plays, mods etc.) and how we treat such content when it comes to ownership and licensing.\n\nOur community is known for creating wonderful content inspired by our games, so we came up with Fan Content Guidelines to help show what’s OK and what isn’t in this regard. Spoiler alert- Let’s Plays and streams of GWENT: Rogue Mage are totally fine and yes, you can monetize them!\n\n5. OTHER LEGAL STUFF\nAs you see, this is a short document and we may amend these Rules over time. If so, we'll post an updated version up and make reasonable efforts to notify you, where possible. Once we change these Rules, it will become legally binding on you 30 days after we post it online. Please also remember that these Rules are supplemented by CD PROJEKT RED User Agreement (https://regulations.cdprojektred.com/user_agreement).\n\nThese Rules are here for a reason. As a result, if you break any of them or CD PROJEKT RED User Agreement, we reserve the right to cancel or suspend your access to the Game.\n\nWe are not huge fans of rules but if you go against those, you may lose access to GWENT: Rogue Mage (temporarily or permanently). We are sure that nothing bad will happen, but the legal folks said this point has to be made here. Last thing- we may update this document in the future, but in such case we will post an updated version.\n\n6. PLATFORM SPECIFIC TERMS\n6.1 Android\n\nThe following terms apply only to users playing GWENT: Rogue Mage on Android devices they own or control:\n\na) You acknowledge that these Rules are concluded between you and CD PROJEKT RED, and not with Google LLC, Google Ireland Limited, Google Commerce Limited or Google Asia Pacific Pte. Limited (“Google”). CD PROJEKT RED, not Google, is solely responsible for GWENT: Rogue Mage and the content thereof.\n\nb) Your use of GWENT: Rogue Mage will be subject to the terms of these Rules, which grants you a non-transferable, limited license to use GWENT: Rogue Mage on Android devices. In addition, your use of GWENT: Rogue Mage will also be subject to usage rules set forth by Google in the Google Play Terms of Service.\n\nIf you play GWENT: Rogue Mage on Android, your use of GWENT: Rogue Mage will be subject to additional terms and conditions.\n\n6.2 APPLE iOS.\nThe following terms apply only to users playing GWENT: Rogue Mage on iOS devices they own or control:\n\na) You acknowledge that this Agreement is concluded between you and CD PROJEKT RED, and not with Apple Inc., (“Apple”). CD PROJEKT RED, not Apple, is solely responsible for GWENT: Rogue Mage and the content thereof.\n\nb) Your use of GWENT: Rogue Mage will be subject to the terms of this Agreement, which grants you a non-transferable, limited license to use GWENT: Rogue Mage on Apple-branded products you own or control, and as permitted by the Usage Rules set forth in the App Store Terms of Service.\n\nc) You acknowledge that Apple is not responsible for providing any maintenance and support services regarding GWENT: Rogue Mage.\n\nd) You acknowledge and agree that CD PROJEKT RED, and not Apple, is responsible for any product warranties, whether express or implied by law, to the extent not effectively disclaimed.\nIn case you are entitled to a warranty under laws applicable in your jurisdiction, then in the event of any failure of GWENT: Rogue Mage to conform to such warranty, you may notify Apple, and Apple will refund the purchase price, if any, paid by you to Apple for GWENT: Rogue Mage. To the maximum extent permitted by applicable law, Apple will have no other warranty obligation whatsoever with respect to GWENT: Rogue Mage, and any other claims, losses, liabilities, damages, costs or expenses attributable to any failure to conform to any warranty will be sole responsibility of CD PROJEKT RED. Please note, however, that to the extent permitted by law CD PROJEKT RED has disclaimed or limited warranties in accordance with provisions of Section 12 of CD PROJEKT RED User Agreement (https://regulations.cdprojektred.com/user_agreement) “Warranties and Liability Regarding CD PROJEKT RED Games and Services”, \n\ne) You acknowledge that CD PROJEKT RED, not Apple, is responsible for addressing your or any third party claims relating to GWENT: Rogue Mage or your possession and/or use of GWENT: Rogue Mage, including, but not limited to: (i) product liability claims; (ii) any claim that the GWENT: Rogue Mage fails to conform to any applicable legal or regulatory requirement; and (iii) claims arising under consumer protection, privacy, or similar legislation.\n\nf) You acknowledge that, in the event of any third pa+H4rty claim that GWENT: Rogue Mage or your possession and use of GWENT: Rogue Mage infringes that third that third party’s intellectual property rights, CD PROJEKT RED, not Apple, will be solely responsible for the investigation, defense, settlement and discharge of any such intellectual property claims.\n\ng) You acknowledge that (i) you are not located in a country that is subject to a U.S. Government embargo, or that has been designated by the U.S. Government as a “terrorist supporting” country; and (ii) you are not listed on any U.S. Government list of prohibited or restricted parties.\n\nh) You acknowledge and agree that Apple and Apple subsidiaries, are third party beneficiaries of this Agreement, and that, upon your acceptance of the terms and conditions of the Agreement, Apple will have the right (and will be deemed to have accepted the right) to enforce this Agreement against you as a third party beneficiary thereof.\nIf you play GWENT: Rogue Mage on iOS, your use of GWENT: Rogue Mage will be subject to additional terms and conditions.\nIn particular you confirm that Apple is not a party to this Agreement and is not responsible for GWENT: Rogue Mage, however, Apple is entitled to enforce this Agreement.
age_restriction_description;A felhasználói fiókodban megadott életkor nem felel meg a játék használatához!
age_restriction_title;Hozzáférés korlátozva!
ai_player_name;Turing gépezet
allgod_event_intro_desc;Ki tudod elégíteni az Allgod végtelen étvágyát? Teljesítsd az esemény küldetéseit, hogy egyedi jutalmakat szerezz!
allgod_event_reminder_desc;Lehetőséged van további zarándokoknak segíteni az Allgod küldetéseinek teljesítésével. Ma két új oldal nyílik meg!
alzur_yenn_triss_journey;Alzur, Yennefer és Triss utazásai itt vannak!
anity_gameboard_50026_title;Mellőzve.
anniversary_celebration;20. évfordulós ünnepség!
anniversary_sale;20. CDPR évfordulós kiárusítás
anti_fatigue_five_and_more_hours;Figyelem! Elérted azt az időt, ami már egészségtelen a játékban. A saját érdekedben kérjük jelentkezz ki azonnal, különben károsodni fog az egészséged! A játékban mostantól nem szerzel jutalmakat, amíg el nem érsz 5 offline órát.
anti_fatigue_one_hour;Már folyamatosan online vagy 1 órája.
anti_fatigue_three_hours;Már online vagy 3 órája. Kérjük jelentkezz ki, pihenj egyet és csinálj pár gyakorlatot.
anti_fatigue_three_to_five_hours;Elérted a kifáradás szintjét, a játékban szerzett jutalmak 50%-kal csökkennek. A saját érdekedben kérjük jelentkezz ki azonnal, gyakorolj egy kicsit és foglalkozz magaddal!
anti_fatigue_two_hours;Már folyamatosan online vagy 2 órája.
arena_abandon_fail_text;Valami hiba történt, amikor próbáltad megtörni a paktumot.
arena_abandon_fail_title;Hiba
arena_button_show_details;Pakli részleteinek mutatása
arena_card_set_defense_armor;Páncél
arena_card_set_defense_boost;Erősítés
arena_card_set_defense_defender;Védelmező
arena_card_set_defense_shield;Pajzs
arena_card_set_defense_sukrus;Sukrus
arena_card_set_equality;Egyenlőség
arena_card_set_equality_mo;Szörny egyenlőség
arena_card_set_equality_neu;Semleges egyenlőség
arena_card_set_equality_ng;Nilfgaardi egyenlőség
arena_card_set_equality_nr;Északi Királyságok egyenlőség
arena_card_set_equality_sc;Mókus egyenlőség
arena_card_set_equality_sk;Skelligei egyenlőség
arena_card_set_equality_sy;Szindikátusi egyenlőség
arena_card_set_madock_trio;Madoc Trió
arena_card_set_mechanical_adrenaline;Adrenalin
arena_card_set_mechanical_bloodthirst;Vérszomj
arena_card_set_mechanical_charge;Erősítés
arena_card_set_mechanical_coins;Érmék
arena_card_set_mechanical_create;Létrehozás
arena_card_set_mechanical_deathwish;Halálvágy
arena_card_set_mechanical_discard;Kidobás
arena_card_set_mechanical_disloyal;Áruló
arena_card_set_mechanical_harmony;Harmónia
arena_card_set_mechanical_intimidate;Fenyegetés
arena_card_set_mechanical_move;Mozgás
arena_card_set_mechanical_order;Parancs
arena_card_set_mechanical_patience;Türelem
arena_card_set_mechanical_traps;Csapdák
arena_card_set_mechanical_tribute;Elismerés
arena_card_set_neutrality;Semlegesség
arena_card_set_neutrality_mo;Szörny semlegesség
arena_card_set_neutrality_neu;Semleges semlegesség
arena_card_set_neutrality_ng;Nilfgaardi semlegesség
arena_card_set_neutrality_nr;Északi Királyságok semlegesség
arena_card_set_neutrality_sc;Mókus semlegesség
arena_card_set_neutrality_sk;Skelligei semlegesség
arena_card_set_neutrality_sy;Szindikátusi semlegesség
arena_card_set_offensive_bleeding;Vérzés
arena_card_set_offensive_bounty;Vérdíj
arena_card_set_offensive_control;Irányítás
arena_card_set_offensive_generic;Támadás
arena_card_set_offensive_lock;Zárolás
arena_card_set_offensive_poison;Méreg
arena_card_set_offensive_weather;Időjárás
arena_card_set_offensive_weather_rain;Időjárás - Eső
arena_card_set_polarity;Ellentettség
arena_card_set_polarity_mo;Szörny ellentettség
arena_card_set_polarity_neu;Semleges ellentettség
arena_card_set_polarity_ng;Nilfgaardi ellentettség
arena_card_set_polarity_nr;Északi Királyságok ellentettség
arena_card_set_polarity_sc;Mókus ellentettség
arena_card_set_polarity_sk;Skelligei ellentettség
arena_card_set_polarity_sy;Szindikátusi ellentettség
arena_card_set_ships_and_pirates;Hajók és kalózok
arena_card_set_special_alchemy;Alkímia
arena_card_set_special_bombs;Bombák
arena_card_set_special_crimes;Bűntények
arena_card_set_special_nature;Természet
arena_card_set_special_neutral;Varázslatok
arena_card_set_special_organic;Szervesek
arena_card_set_special_raid;Rajtaütés
arena_card_set_special_tactics;Taktika
arena_card_set_special_warfare;Hadviselés
arena_card_set_thinning_archespore;Szúrcsohó
arena_card_set_thinning_bluestripes;Kékszalagosok
arena_card_set_thinning_brokilonsentinel;Brokiloni őrszemek
arena_card_set_thinning_casinobouncers;Kaszinó kidobók
arena_card_set_thinning_crowmessenger;Varjú hírvivők
arena_card_set_thinning_dun_banner;Dun Banner klán
arena_card_set_thinning_foglet;Ködárny
arena_card_set_thinning_huntingpack;Vadászat csomag
arena_card_set_thinning_imperabrigade;Császári dandár
arena_card_set_thinning_knickers;Gatyás legjobb fiai
arena_card_set_thinning_mahakam_volunteers;Mahakami önkéntesek
arena_card_set_thinning_queensguard;Királynői testőrség
arena_card_set_thinning_roach;Hogy jutott oda fel Keszeg?
arena_card_set_thinning_sewer_riders;Csatornafosztogatók
arena_card_set_thinning_shieldmaiden;Pajzsleányok
arena_card_set_thinning_vernon_roche;Vernon Roche
arena_card_set_thinning_whriders;Vad Hajsza lovasok
arena_card_set_thinning_wtrio;Vesemir, Lambert és Eskel
arena_card_set_tribal_aristocrats;Arisztokraták
arena_card_set_tribal_beasts;Bestiák
arena_card_set_tribal_blindeyes;Vakszemek
arena_card_set_tribal_druids;Druidák
arena_card_set_tribal_dryads;Driádok
arena_card_set_tribal_dwarf;Törpék
arena_card_set_tribal_elves;Elfek
arena_card_set_tribal_insectoids;Rovarok
arena_card_set_tribal_mages;Mágusok
arena_card_set_tribal_relict;Ittrekedtek
arena_card_set_tribal_siege_engine;Ostromgépek
arena_card_set_tribal_soldiers;Katonák
arena_card_set_tribal_vampire;Vámpírok
arena_card_set_tribal_warriors;Harcosok
arena_card_set_tribal_wild_hunt;Vad Hajsza
arena_card_set_tribal_witchers;Vajákok
arena_card_set_value_deck_shuffle;Paklikeverő
arena_card_set_value_firesworn;Tűztestvér
arena_card_set_value_generic_swarm;Rajzás a táblán
arena_card_set_value_hoard;Halmozás
arena_card_set_value_points;Nagy erejű
arena_card_set_value_prebuff;Elő erősítő
arena_card_set_value_self_poison;Önmérgező
arena_card_set_value_self_wound;Önsebző
arena_card_set_value_vitality;Vitalitás
arena_card_set_wombo_combo_armor;Páncél zsonglőr
arena_card_set_wombo_combo_borsodi;Borsodi testvérek
arena_card_set_wombo_combo_crones;Fúriák főzete
arena_card_set_wombo_combo_dulla;Dulla és a Rúnaműves
arena_card_set_wombo_combo_etriel;Etriel és Muirlega
arena_card_set_wombo_combo_geralt;Geralt kitörése
arena_card_set_wombo_combo_kambi;Kambi varjak háromszor
arena_card_set_wombo_combo_ozzrel;Ozzrel ízletes falatkái
arena_card_set_wombo_combo_palmerin;Milton és Palmerin
arena_card_set_wombo_combo_unicorns;Unikornisos szivárvány
arena_card_set_wombo_combo_viper;Letho lakájai
arena_deck_completed_text;Pakli befejezve!
arena_event_battle_giants;Óriások viadala\n\nHívd segítségül az óriások erejét! Ezen esemény alatt, csak a 11+ ellátási költségű kártyákkal játszhatsz!
arena_event_desc_blood_n_wine;Vér és Bor\n\nEljött az ideje egy véres lakomának! Csak a Vér és Bor kiegészítő kártyái elérhetőek ezen kihívás alatt!
arena_event_desc_bronze;Gyalog üti a királyt\n\nMég a vaják is legyőzetik, ha tömeggel harcol! Csak bronz kártyák használhatóak ezen kihívás alatt!
arena_event_desc_crimson_curse;Bíbor Átok\n\nGaunter a sötét mágia és a véres rituálék csodálója. Ebben a kihívásban a kártyakészlet limitálva van a Bíbor Átok kiegészítő kártyáira!
arena_event_desc_elf;Elf szezon\nEbben a módban szezonális mérkőzéseket játszhatsz az általános pakliépítés szabályai nélkül.
arena_event_desc_ep3;Vas Ítélet!\n Ezen esemény alatt, a kártyakészlet limitálva van a Vas Ítélet kiegészítő kártyáira!
arena_event_desc_ep4;Ofir kereskedői!\n Ezen esemény alatt, a kártyakészlet limitálva van az Ofir kereskedői kiegészítő kártyáira!
arena_event_desc_full_spectrum;Teljes spektrum\n\nMiért köteleznéd el magad egyetlen szín iránt? Ebben a kihívásban minden szett amit választasz, különböző ritkaságú kártyákból fog állni.
arena_event_desc_gold;Aranyláz\n\nA világ legjobb hősei fej-fej mellett haladnak. Kié lesz a győzelem? Csak az arany kártyák használhatóak ezen kihívás alatt!
arena_event_desc_leader_challenge;Mutasd az utat!\n\n Gaunter tiszteli azokat, akik valódi erővel rendelkeznek. Ebben a módban az egyetlen választható vezető az, aki megnyerte a vezetői kihívást.
arena_event_desc_leader_first;Mutasd az utat! \n\n Ebben a speciális aréna módban a vezetőt a kártyák leválogatása elején kell választani.
arena_event_desc_magic;Mágia szezon\n\nEbben a módban szezonális mérkőzéseket játszhatsz az általános pakliépítés szabályai nélkül.
arena_event_desc_monsters;A dzsungel törvénye\n\nItt csak a legerősebbek élik túl. Csak Szörny kártyák használhatóak ezen kihívás alatt!
arena_event_desc_nilfgaard;Szórakoztatás az udvarban\n\nA császári udvar nagyobb veszélyt rejt magában, mint a legtöbb csatatér. Csak Nilfgaard kártyái használhatóak ezen kihívás alatt!
arena_event_desc_northern;Királyok viadala\n\nA kapzsi királyok ismét egymás torkának esnek. Csak az Északi Királyságok kártyái használhatóak ezen kihívás alatt!
arena_event_desc_one_life;Gyors halál\n\nA kudarc nem megengedett! Ebben a kihívásban már egyetlen vereség is véget vet az aréna sorozatodnak.
arena_event_desc_scoia;Ősi fajok háborúja\n\nAz emberek megjelenése előtt az ősi fajok versengtek a kontinens uralmáért. Csak a Mókusok kártyái használhatóak ezen kihívás alatt!
arena_event_desc_silver;Óriások csatája\n\nHívd az óriások erejét! Ezen esemény alatt, csak a 11+-os ellátási költségű kártyák használhatóak.
arena_event_desc_skellige;Klán viadal\n\nA skelligeiek harciassága legendás. Csak Skellige kártyái használhatóak ezen kihívás alatt!
arena_event_desc_swap;Váltány\n\nFordítsd az ellenfeled erejét az előnyödre! Ebben a kihívásban játssz az ellenfeled paklijával a sajátod helyett!
arena_event_desc_syndicate;Szindikátus!\n\nGaunter kedveli a kétes alakokat, a szervezett bűnözést és a csínytevéseket. Ebben a kihívásban a kártyakészlet a Szindikátus frakció kártyáira korlátozódik.
arena_event_desc_viper;Vipera szezon\n\nEbben a módban szezonális mérkőzéseket játszhatsz az általános pakliépítés szabályai nélkül.
arena_event_four_kind;Négy egyforma\n\nA közönséges csőcselék betört az arénába! Ebben a kihívásban csak a 4 ellátási költségű kártyák játszanak.
arena_event_mode_classic_title;ALAPÉRTELMEZETT
arena_event_mode_special_title;SPECIÁLIS
arena_matchmaking_panel_match_found_text;Óh, ez érdekesnek ígérkezik!
arena_matchmaking_panel_searching_text;Méltó ellenfél keresése...
arena_panel_abandon;Szerződés megszegése
arena_panel_abandon_confirmation_text;Biztos el akarod hagyni az arénát? Ha egyszer megtöröd az aktuális paktumot, többé nem tudsz visszatérni hozzá!
arena_panel_abandon_confirmation_title;Paktum megtörése
arena_panel_build_deck_cards_hint_text;Ebben a módban egy paklit fogsz építeni az összes elérhető kártyából. Nincs frakció megkötés. Ezen okból kifolyólag, gyakran az a legjobb, ha magában is erős kártyát választasz, ami nem függ a többi kártyától.
arena_panel_build_deck_cards_hint_title;Melyik kártyát kellene választanom?
arena_panel_build_deck_deck_hint_text;Eltekintve a pakliban lévő kártyák számától, nincs megkötés. Használj annyi arany és ezüst kártyát, amennyit csak szeretnél!
arena_panel_build_deck_deck_hint_title;Van valami pakli megkötés?
arena_panel_build_deck_title;Paklid összeállítása
arena_panel_card_select_fail_text;Valami hiba történt a kártya kiválasztása során. Kérlek, állítsd össze a paklidat ismét!
arena_panel_card_select_fail_title;Kártya kiválasztási hiba
arena_panel_choose_ability_subtitle;Válassz egy képességet!
arena_panel_choose_leader_subtitle;Válassz egy vezetőt!
arena_panel_deck_build_hint_text;Ebben a módban egy paklit fogsz építeni az összes elérhető kártyából. Nincs frakció megkötés. Ezen okból kifolyólag, gyakran az a legjobb, ha magában is erős kártyát választasz, ami nem függ a többi kártyától.
arena_panel_deck_create_fail_text;Valami hiba történt a pakli építése közben. Kérlek, próbáld újra!
arena_panel_deck_create_fail_title;Pakliépítés közben hiba
arena_panel_deck_info_title;Pakli részletei
arena_panel_encounter_info_battle_text;A szabály a játék alatt ugyanaz, mint mindig: Szerezz több pontot, mint az ellenfeled, és nyerj két fordulót!
arena_panel_encounter_info_battle_title;Szabályok
arena_panel_encounter_info_losses;Vesztes csaták
arena_panel_encounter_info_rules_text;Csata a többi szegény lélekkel, akik aláírták Gaunter O'Dimm paktumát. Minél több ellenfeledet győződ le, annál nagyobb jutalom vár rád. A játék véget ér 3 bukás, vagy 9 győzelem után.
arena_panel_encounter_info_rules_title;A paktum szabályai
arena_panel_encounter_info_wins;Győzelmek
arena_panel_exit;Kilépés
arena_panel_intro_requirements_title;Belépési díj
arena_panel_intro_requirements_title_after_closing;Új Draft mód jön hamarosan!
