_inputshopbuymultiple;BUY
entering_crossplay_title;CROSS-PLATFORM PLAY
ep_5_2_title;Journey
equip_error_text_key;Deck could not be saved. Trinkets were not equipped.
equip_error_title_key;Deck save failed
error_card_template_desc;We encountered an error reading card definitions, please contact technical support.
error_card_template_title;Oops! Something's Wrong!
error_lower_dv_login;Version you're using was updated - please download most recent version
event_gain_card_text;You've gained {0}
event_gained_item_text;You've gained {0} {1}
event_loose_card_text;You've lost {0}
event_lost_item_text;Yo've lost {0} {1}
event_set_card_text;You collection was set to {0}
event_set_item_text;{1} set to {0}
exit_pro_league;Switch to Ranked Mode
exit_prompt;EXIT
expected_currency_balance_not_matching;The prices shown are no longer current. An update is in progress, please try again later!
experience_boost;XP Boost
experience_match_draw;MATCH DRAW
experience_match_won;MATCH WIN
experience_no_gain;No XP Gained
experience_performance;PERFORMANCE
experience_value;XP
exploration_add_card;New Card
exploration_add_card_more;Your army has grown stronger! A new card has been added to your deck. You can now use it during battles.
exploration_continue;Continue
exploration_journal_title;Quest Journal
exploration_no;No
exploration_press_a_to_interact;Interact
exploration_quit_confirmation;Are you sure you want to quit?
exploration_quit_confirmation_title;Quitting
exploration_remove_card;Card Lost
exploration_remove_card_more;You've lost a card. You can no longer use it during battles.
exploration_unlock_mp_card_description;You have successfully unlocked the Premium version of this card in your multiplayer collection. Congratulations!
exploration_unlock_mp_card_title;Premium Card Unlocked!
exploration_yes;Yes
faction_challenge_victories;Faction Challenge Victories
faction_faceoff_reward;Faction Challenge Rewards
faction_invalid_name;Invalid
faction_monster_description;Driven by primal instincts, Monsters show no remorse and even consume each other to gain power.
faction_monster_name;Monsters
faction_monsters_0_desc_name;White Frost
faction_monsters_0_desc_text;<color=#ef7070><link=20005501>White Frost</link></color> allows you to move an opponent’s unit to the other row and apply <color=#ef7070><link=frost>Frost</link></color>, which will then damage the highest-power unit on that row by 2 for the next 2 turns. This can be particularly useful as a counter to enemy cards with abilities tied to a specific row.
faction_monsters_1_desc_name;Dominance
faction_monsters_1_desc_text;Cards with <color=#ef7070><link=dominance>Dominance</link></color>, such as <color=#ef7070><link=13240200>Wild Hunt Hound</link></color>, unlock their full potential when you control the highest-power unit on the battlefield. This highest-power unit can also be the card played, allowing you to play <color=#ef7070><link=13231000>Wild Hunt Rider</link></color> on an empty board and benefit from its <color=#ef7070><link=dominance>Dominance</link></color>.
faction_monsters_2_desc_name;Frost
faction_monsters_2_desc_text;Applying <color=#ef7070><link=frost>Frost</link></color> with a card such as <color=#ef7070><link=20261200>Naglfar’s Crew</link></color>⁠ to a row that already has <color=#ef7070><link=frost>Frost</link></color> will increase the current effect’s duration. Remember to choose which row to apply <color=#ef7070><link=frost>Frost</link></color> to carefully as it can be critical to maintaining <color=#ef7070><link=dominance>Dominance</link></color> for your other cards.
faction_monsters_description;Lead the Wild Hunt cavalcade and bring yet another world to its knees!
faction_neutral_name;Neutral
faction_nilfgaard_0_desc_name;Double Cross
faction_nilfgaard_0_desc_text;<color=#ef7070><link=20218601>Double Cross</link></color> allows you to take a peek at 3 of the cards in your opponent’s hand and choose one to copy and then play. This can be particularly effective when your opponent has only 3 cards left, as it will tell you exactly what tools your opponent has left to use against you.
faction_nilfgaard_1_desc_name;Assimilate
faction_nilfgaard_1_desc_text;Cards with <color=#ef7070><link=assimilate>Assimilate</link></color> will receive a boost each time you play a card that wasn’t in your starting deck. <color=#ef7070><link=20223900>Artorius Vigo</link></color>, for example, will create a copy of one of the bronze cards in your starting deck and will boost himself and all other <color=#ef7070><link=assimilate>Assimilate</link></color> cards you control by 1 (unless specified differently) after doing so.
faction_nilfgaard_2_desc_name;Disloyal
faction_nilfgaard_2_desc_text;Cards like <color=#ef7070><link=20224800>Duchess’s Informant</link></color> are <color=#ef7070><link=disloyal>Disloyal</link></color>, meaning you must play them on your opponent’s side of the board. These cards will also gain a <color=#ef7070><link=spying>Spying</link></color> status once played. <color=#ef7070><link=20224800>Duchess’s Informant</link></color> creates a copy of a bronze enemy card for you to play on your side, and is useful for stealing your opponent’s strategy.
faction_nilfgaard_description;Use whatever means necessary to increase the reach of the Empire.
faction_nilfgaard_name;Nilfgaard
faction_northern_description;The Northern Realms boast powerful mages and siege engines that rain fire upon their foes.
faction_northern_name;Northern Realms
faction_northernrealms_0_desc_name;Uprising
faction_northernrealms_0_desc_text;<color=#ef7070><link=20257401>Uprising</link></color> lets you boost a unit 3 times, allowing you to protect valuable cards. For maximum efficiency, save your charges until you’re ready to deploy the <color=#ef7070><link=20216100>Lyrian Scytheman</link></color>, which will be created once you’ve used up all charges. Deploy this card to a row filled with boosted units to perform a powerful finishing play.
faction_northernrealms_1_desc_name;Inspired
faction_northernrealms_1_desc_text;Cards like <color=#ef7070><link=20215200>Anna Strenger</link></color> have stronger abilities when <color=#ef7070><link=inspired>Inspired</link></color>, meaning when they are boosted above their base power, their impact on the battlefield grows. It’s usually wise to prioritize boosting such units to gain the upper hand.
faction_northernrealms_2_desc_name;Formation
faction_northernrealms_2_desc_text;Cards with <color=#ef7070><link=order>Orders</link></color> can not normally execute their ability until the turn after they are played. However, those with the <color=#ef7070><link=formation>Formation</link></color> keyword⁠ ⁠— like <color=#ef7070><link=20242100>Radovid’s Royal Guards</link></color> ⁠— have the option to do so. Play these cards on the melee row to use their order ability immediately, OR play them on the ranged row to gain one point of boost.
faction_northernrealms_description;Unite your forces and bolster them to overpower any foe.
faction_scoiatael_0_desc_name;Nature’s Gift
faction_scoiatael_0_desc_text;<color=#ef7070><link=20016501>Nature’s Gift</link></color> can be used 3 times to give a unit <color=#ef7070><link=vitality>Vitality</link></color> ⁠— a status that boosts them by 1 at the end of your current and next turn. It can be especially effective on <color=#ef7070><link=20267800>Hamadryads</link></color> and can be applied multiple times to the same unit to extend its duration.
faction_scoiatael_1_desc_name;Symbiosis
faction_scoiatael_1_desc_text;Thanks to the <color=#ef7070><link=symbiosis>Symbiosis</link></color> ability of <color=#ef7070><link=20016500>Nature’s Gift</link></color>, whenever you play a special card with the <color=#ef7070><link=nature>Nature</link></color> category ⁠— like <color=#ef7070><link=20226900>Dryad’s Caress</link></color> ⁠— you will spawn a 1-power Treant on the board. The power of the <color=#ef7070><link=20268300>Treants</link></color> you create increases by 1 for every unit with <color=#ef7070><link=symbiosis>Symbiosis</link></color> you currently control.
faction_scoiatael_2_desc_name;Hand boosting
faction_scoiatael_2_desc_text;Play cards like  <color=#ef7070><link=20267700>Circle of Life</link></color> early in a round to boost a random Scoia’tael unit in your hand before you play it. With this special card, if you manage to kill the unit you damage, the <color=#ef7070><link=deathblow>Deathblow</link></color> effect will allow you to choose which unit gets boosted.
faction_scoiatael_description;Use the power of nature to grow your army and defend your forests from invaders.
faction_scoiatael_name;Scoia'tael
faction_select_deck_button;Select Deck
faction_select_popup_warning;Are you sure? You will unlock other decks shortly.
faction_skellige_0_desc_name;Patricidal Fury
faction_skellige_0_desc_text;Use <color=#ef7070><link=20211901>Patricidal Fury</link></color> to unleash <color=#ef7070><link=20218200>Arnjolf the Patricide</link></color>. This not only grants you an 11-point body but also results in 3 damaged sirens on the enemy side, allowing you to gain even more power from cards like <color=#ef7070><link=15210600>Madman Lugos</link></color>. It can also be used to fill up your opponent’s row, preventing them from playing more cards on it.
faction_skellige_1_desc_name;Veteran
faction_skellige_1_desc_text;Skellige warriors only get stronger as the battle drags on. Each round, cards with <color=#ef7070><link=veteran>Veteran</link></color> gain 1 base power, making cards like <color=#ef7070><link=20262300>Tuirseach Invader</link></color> that much better in later rounds.
faction_skellige_2_desc_name;Bloodthirst
faction_skellige_2_desc_text;<color=#ef7070><link=20262400>An Craite Raiders</link></color> let you deal 2 damage to a unit of your choice on the turn after it’s played. Its <color=#ef7070><link=bloodthirst>Bloodthirst</link></color> condition allows you to deal this damage immediately after playing it via the <color=#ef7070><link=zeal>Zeal</link></color> ability, but only if your opponent has at least 3 damaged units.
faction_skellige_description;Channel the rage of the Isles for strength and glory.
faction_skellige_name;Skellige
faction_syndicate_name;Syndicate
failed_content_text;Oops! This content cannot be displayed, please try again later.
failed_download_patch_notes_description;Sorry, we were not able to display patch notes for this game version. Please try again later.
failed_download_patch_notes_title;Could Not Display Patch Notes
fatigue_warning_title;N/A
filter_card_type_label;Card Type
filter_expansion_all;All
filter_expansion_crimson_curse;Crimson Curse
filter_expansion_ep3;Iron Judgment
filter_expansion_ep4;Merchants of Ofir
filter_expansion_ep5;Master Mirror
filter_expansion_ep6;Way of the Witcher
filter_expansion_ep7;Price of Power
filter_expansion_homecoming;Base Set
filter_expansion_label;Card Set
filter_expansion_novigrad;Novigrad
filter_expansion_tb;Thronebreaker
filter_expansion_unmillable;Starter Set
filter_faction_all;All
filter_faction_label;Factions + Neutral
filter_faction_monster;MONSTERS
filter_faction_neutral;NEUTRAL
filter_faction_nilfgaard;NILFGAARD
filter_faction_northern;NORTHERN REALMS
filter_faction_scoiatael;SCOIA'TAEL
filter_faction_skellige;SKELLIGE
filter_faction_syndicate;Syndicate
filter_group_all;ALL
filter_group_bronze;BRONZE
filter_group_gold;GOLD
filter_group_label;COLOR
filter_group_leader;LEADER
filter_group_silver;SILVER
filter_loyalty_disloyal;DISLOYAL
filter_loyalty_label;LOYALTY:
filter_loyalty_loyal;LOYAL
filter_ownership_all;ALL
filter_ownership_label;OWNERSHIP
filter_ownership_new;NEW
filter_ownership_owned;OWNED
filter_ownership_unowned;NOT OWNED
filter_position_agile;AGILE
filter_position_event;EVENT
filter_position_label;POSITION:
filter_position_melee;MELEE
filter_position_ranged;RANGED
filter_position_siege;SIEGE
filter_premium_all;ALL
filter_premium_label;PREMIUM CARDS
filter_premium_nonpremium;STANDARD ONLY
filter_premium_premium;PREMIUM ONLY
filter_premium_premium_priority;Premium Priority
filter_rarity_common;COMMON
filter_rarity_epic;EPIC
filter_rarity_label;RARITY:
filter_rarity_legendary;LEGENDARY
filter_rarity_rare;RARE
filter_region_af;Africa
filter_region_as;Asia
filter_region_eu;Europe
filter_region_global;Global
filter_region_na;North America
filter_region_oc;Australia and Oceania
filter_region_sa;South America
filter_type_artifact;Artifact
filter_type_special;Special
filter_type_stratagem;Stratagem
filter_type_unit;Unit
friend_match_cancelled;Friendly match has been cancelled.
friend_match_error_header;An unexpected error occurred
friend_match_error_subheader;Please try again later
friend_match_incoming_notification_action_play;Accept
friend_match_incoming_notification_text;{0} has invited you to a friendly match
friend_match_invite_already_cancelled;Your invite was canceled
friend_match_invite_creation_failure;Failed to create invite
friend_match_invite_from_launch_failure;Failed to start friendly match
friend_match_invite_not_found;Invite no longer valid
friend_match_invite_outgoing_pending;Unable to send more invites
friend_match_leave_match_button_label;Leave match
friend_match_outgoing_notification_action_play;{0} has accepted your invite
friend_match_outgoing_notification_action_withdraw;Cancel
friend_match_outgoing_notification_text;Waiting for player to accept invite
friend_match_setup_card_title;Begin Match
friend_match_setup_card_title_loading;Friendly match
friend_match_setup_title;Friendly match setup
friend_match_waiting_for_game_setup;Just a moment...
friend_match_waiting_for_match_start_text;Match will begin shortly...
friend_match_waiting_for_opponent_text;Opponent is still getting ready...
friendmatch_play_menu_description;Get ready for a friendly challenge.
friendmatch_play_menu_title;Friendly Match
ftux_adda_name;Adda
ftux_adda_title;Striga Princess
ftux_arachas_queen_name;Arachas Queen
ftux_arachas_queen_title;Swarm Mother
ftux_bran_name;Bran
ftux_bran_title;King of Skellige
ftux_brouver_name;Brouver
ftux_brouver_title;Mahakam Elder-in-Chief
ftux_crach_name;Crach
ftux_crach_title;An Craite Jarl
ftux_dagon_name;Dagon
ftux_dagon_title;Primeval Deity
ftux_eist_name;Eist
ftux_eist_title;King of Cintra
ftux_eithne_name;Eithne
ftux_eithne_title;Lady of Brokilon
ftux_emhyr_name;Emhyr
ftux_emhyr_title;Emperor of Nilfgaard
ftux_eredin_name;Eredin
ftux_eredin_title;King of the Wild Hunt
ftux_filavandrel_name;Filavandrel
ftux_filavandrel_title;Protector of Dol Blathanna
ftux_foltest_name;Foltest
ftux_foltest_title;King of Temeria
ftux_francesca_name;Francesca
ftux_francesca_title;Queen of the Free Elves
ftux_harald_name;Harald the Cripple
ftux_harald_title;Conquerer of Ard Skellig
ftux_henselt_name;Henselt
ftux_henselt_title;King of Kaedwen
ftux_jan_calveit_name;Jan Calveit
ftux_jan_calveit_title;Emperor of Nilfgaard
ftux_radovid_name;Radovid
ftux_radovid_title;King of Redania
ftux_unseen_elder_name;Unseen Elder
ftux_unseen_elder_title;Vampirus Superior
ftux_usurper_name;Usurper
ftux_usurper_title;Stricken from the Annals
ftux_voorhis_name;Voorhis
ftux_voorhis_title;Alba Division Commander
gaea_login_accept_text;I accept the <color=#2C96FFFF><u>Terms & Conditions</u></color>
gaea_login_accept_warning;Please accept the Terms & Conditions
gaea_login_invalid_email;Please enter a valid email address
gaea_login_invalid_password;Please enter a password
gaea_login_invalid_real_id;Your Real ID should contain only 15 or 18 digits, or 17 digits with X checksum
gaea_login_invalid_real_name;Your real name must contain only Chinese characters
gaea_login_invalid_username;Please enter a username
gaea_login_panel_back;Back
gaea_login_panel_delete_text;Do you wish to delete your saved {0} account?
gaea_login_panel_delete_title;Delete account?
gaea_login_panel_email;EMAIL
gaea_login_panel_fail_text;Looks like an account with the given username already exists.
gaea_login_panel_fail_title;Error
gaea_login_panel_login;Log Into Account
gaea_login_panel_password;PASSWORD
gaea_login_panel_processing;Creating Account...
gaea_login_panel_real_id;REAL ID
gaea_login_panel_real_name;REAL NAME
gaea_login_panel_remember_me;Remember Me
gaea_login_panel_sign_in;Sign In
gaea_login_panel_sign_up;Create Account
gaea_login_panel_success_text;You have successfully created your account. Now log in!
gaea_login_panel_success_title;Success
gaea_login_panel_username;USERNAME
gaea_popup_purchase_error_text;Purchasing will be available when this game is approved by GAPPSARFT
gaea_popup_purchase_error_title;Error
game_ended_unexpected_popup_desc;Unexpected problem occurred - please contact support
game_ended_unexpected_popup_title;Server Error Occurred
game_invite_description;Would you like to play a Standard match against <b>{0}</b>?
game_invite_title;GAME INVITATION RECEIVED
game_mode_seasonal_bear_title;Banished
game_mode_seasonal_cat_title;Switcheroo
game_mode_seasonal_draconid_title;Battle Rush
game_mode_seasonal_dryad_title;Seesaw
game_mode_seasonal_elf_title;Double Down
game_mode_seasonal_griffin_title;Power Shift
game_mode_seasonal_love_title;Irresistible Attraction
game_mode_seasonal_magic_title;Dual Casting
game_mode_seasonal_mahakam_title;Entrench
game_mode_seasonal_more_provision_desc;At the start of your turn, transform all cards in your hand into random ones that cost 1 provision more
game_mode_seasonal_more_provision_title;Patience is a virtue!
game_mode_seasonal_viper_title;Momentum
game_mode_seasonal_wild_hunt_title;Plus One
game_mode_seasonal_wolf_title;Trial of the Grasses
game_saving;Saving game...
game_summary_best_title;Best
game_summary_current_title;Current
game_summary_deck_victories;{0} deck victories
game_summary_difficulty;Difficulty
game_summary_elite_enemies_defeated;Elites defeated
game_summary_new_record;(new record)
game_summary_performance;Performance
game_summary_standard_enemies_defeated;Enemies defeated
game_summary_total_score;Total Score
game_summary_total_time;Time
game_summary_total_victories;Total victories
game_summary_win_streak;Win Streak
game_version;Game version
gameplay_guides_button;See Gameplay Guides
get_lobby_fail_message_description;Connection error
get_lobby_fail_message_title;Connection error
gifting_status_locked;already unlocked this item
go_to_bd;Go to the Deckbuilder
go_to_rb;Go to the Reward Book.
gold;Gold
gold_currency;Ore
gwent_abandon_title;Abandon
gwent_bottom_victory_title;Blue wins the game
gwent_controller_disconnect_title_ps4;DUALSHOCK®4 Wireless Controller Disconnected
gwent_controller_disconnected_desc;Please reconnect your controller and press <sprite="[PC]" name=A> to continue.
gwent_controller_disconnected_desc_ps4;Please reconnect your DUALSHOCK®4 wireless controller and press <sprite="[PC]" name=A> to continue.
gwent_controller_disconnected_title;Controller disconnected
gwent_controller_disconnected_title_ps4;DUALSHOCK®4 Wireless Controller Disconnected
gwent_controller_for_user_is_not_connected_desc;DUALSHOCK®4 wireless controller is not connected for user {0}.
gwent_creating_deck_error_desc;Network error encountered while creating a new deck. Please check your Internet connection and try again.
gwent_creating_deck_error_title;Error Creating Deck
gwent_defeat_title;Defeat
gwent_disclaimer_fnf;Placeholder
gwent_disclaimer_pc;<b>Welcome to\n\nGWENT: The Witcher Card Game\n\nPublic Beta</b>\n\nMighty thanks for helping us test the game! This is a work-in-progress version and, although we think it’s a ton of fun already, not all modes and features are available. If you run into glitches, please visit playgwent.com/support and report them. We’ll try to help as best we can!\n\nYou’ll find detailed information regarding the Public Beta and the game on the FAQ available at playgwent.com/faq.\n\nAlso, we invite you to join the GWENT community on our official forums, Twitter account and Facebook page -- it’s the best way to stay up to date, talk to devs and give us direct feedback.\n\nAbove all else, thank you for joining the Public Beta and we hope you enjoy playing The Witcher Card Game.\n\nLove,\n\nGWENT team
gwent_disclaimer_ps4;<b>Welcome to\n\nGWENT: The Witcher Card Game\n\nPublic Beta</b>\n\nMighty thanks for helping us test the game! This is a work-in-progress version and, although we think it’s a ton of fun already, not all modes and features are available. If you run into glitches, please visit playgwent.com/support and report them. We’ll try to help as best we can!\n\nYou’ll find detailed information regarding the Public Beta and the game on the FAQ available at playgwent.com/faq.\n\nAlso, we invite you to join the GWENT community on our official forums, Twitter account and Facebook page -- it’s the best way to stay up to date, talk to devs and give us direct feedback.\n\nAbove all else, thank you for joining the Public Beta and we hope you enjoy playing The Witcher Card Game.\n\nLove,\n\nGWENT team
gwent_disclaimer_xbox;<b>Welcome to\n\nGWENT: The Witcher Card Game Public Beta\n\n(Xbox One Game Preview)</b>\n\nMighty thanks for helping us test the game! This is a work-in-progress version and, although we think it’s a ton of fun already, not all modes and features are available. If you run into glitches, please visit playgwent.com/support and report them. We’ll try to help if we can!\n\nYou’ll find detailed information regarding the Public Beta and the game on the FAQ available at playgwent.com/faq.\n\nAlso, we invite you to join the GWENT community on our official forums, Twitter account and Facebook page -- it’s the best way to stay up to date, talk to devs and give us direct feedback.\n\nAbove all else, thank you for joining the Public Beta and we hope you enjoy playing The Witcher Card Game.\n\nLove,\n\nGWENT team
gwent_draw_title;Draw
gwent_duplicate_deck_error_desc;Couldn't duplicate the deck. Please try again later.
gwent_duplicate_deck_error_title;Duplication Failed
gwent_duplicate_deck_title;Duplicate Deck
gwent_final_round;Final Round
gwent_flipping_coin;Tossing a coin to determine who starts…
gwent_forfeit_no;NO
gwent_forfeit_question;Do you want to forfeit?
gwent_forfeit_title;Forfeit
gwent_forfeit_yes;YES
gwent_found_opponent;Opponent found!
gwent_gog_galaxy_required;GOG GALAXY is required to play online.
gwent_hero;Hero
gwent_loading_deck;Loading Deck
gwent_login_failed;Login Failed
gwent_menu_choose_deck;SWITCH DECK
gwent_menu_create_room;Create Room
gwent_menu_join_room;Join Room
gwent_menu_multiplayer;Multiplayer
gwent_menu_new_room;New Room
gwent_menu_options;Options
gwent_menu_room_name;Room name:
gwent_menu_single_player;Single Player
gwent_menu_tutorial;Tutorial
gwent_message_bottom_player_discarding_cards_main;Blue is redrawing
gwent_message_bottom_player_making_decision_main;Blue is deciding
gwent_message_coin_toss_scoiatael_human_lost_main;Scoia'tael Faction Ability
gwent_message_coin_toss_scoiatael_human_lost_sub;Opponent goes first
gwent_message_coin_toss_scoiatael_human_win_main;Scoia'tael Faction Ability
gwent_message_coin_toss_scoiatael_human_win_sub;You go first
gwent_message_enemy_passed_coin;OPPONENT PASSED
gwent_message_enemy_passing_coin;OPPONENT PASSING
gwent_message_game_disrupted_main;Error
gwent_message_game_disrupted_sub;Disconnected
gwent_message_monster_ability_opponent_main;Faction Ability
gwent_message_monster_ability_opponent_sub;This unit stays on the battlefield.
gwent_message_monster_ability_player_main;Placeholder
gwent_message_monster_ability_player_sub;Placeholder
gwent_message_monster_ability_you_main;Faction Ability
gwent_message_monster_ability_you_sub;This unit stays on the battlefield.
gwent_message_northern_ability_opponent_main;Faction Ability
gwent_message_northern_ability_opponent_sub;Opponent draws a card.
gwent_message_northern_ability_player_main;Placeholder
gwent_message_northern_ability_player_sub;Placeholder
gwent_message_northern_ability_you_main;Faction Ability
gwent_message_northern_ability_you_sub;Draw a card.
gwent_message_opp_scoia_chose_himself;Opponent decided to go first
gwent_message_opp_scoia_chose_you;Opponent decided to let you go first
gwent_message_opp_scoia_ignore;Opponent let a coin toss decide
gwent_message_opp_scoia_ignore_round_result;Opponent didn't use Scoia'tael faction ability.
gwent_message_opp_scoia_title;SCOIA'TAEL FACTION ABILITY TRIGGERED
gwent_message_opp_scoia_waiting;Opponent is choosing who goes first
gwent_message_opponent_discarding_cards_main;Opponent is replacing cards
gwent_message_opponent_discarding_cards_sub;Opponent is choosing which cards to replace
gwent_message_opponent_made_decision_main;{{opponentName}} picked this card
gwent_message_opponent_made_decision_sub;Placeholder
gwent_message_opponent_making_decision_cards_main;Opponent is making a decision
gwent_message_opponent_making_decision_cards_sub;Opponent is deciding which cards to use.
gwent_message_opponent_making_decision_main;Opponent is deciding
gwent_message_opponent_making_decision_sub;Placeholder
gwent_message_opponent_pass_main;{{opponentName}} passed
gwent_message_opponent_pass_sub;Placeholder
gwent_message_opponent_targeting_cards_main;Opponent is making a decision
gwent_message_opponent_targeting_cards_sub;Opponent is making a decision, please wait.
gwent_message_opponent_turn_coin;OPPONENT'S TURN
gwent_message_opponent_turn_main;Opponent's turn
gwent_message_opponent_turn_sub;Placeholder
gwent_message_passed_coin;PASSED
gwent_message_passing_coin;PASSING
gwent_message_player_forfeit_main;You forfeited
gwent_message_player_forfeit_sub;Placeholder
gwent_message_player_pass_main;You passed
gwent_message_player_pass_sub;Placeholder
gwent_message_player_scoia_chose_himself;You decided to go first
gwent_message_player_scoia_chose_you;You decided to let opponent go first
gwent_message_player_scoia_ignore;You decided to save Scoia'tael faction ability for later
gwent_message_player_scoia_ignore_round_result;You decided not to use Scoia'tael faction ability.
gwent_message_round_bottom_won_main;Blue takes the round
gwent_message_round_draw_main;Round ended in a tie
gwent_message_round_draw_sub;Placeholder
gwent_message_round_lost_main;You lost the round!
gwent_message_round_lost_nilfgaard_main;Faction Ability
gwent_message_round_lost_nilfgaard_sub;You lost the round on a tie!
gwent_message_round_lost_sub;Placeholder
gwent_message_round_start_main;Round Start
gwent_message_round_start_sub;Placeholder
gwent_message_round_top_won_main;Red takes the round
gwent_message_round_won_main;You won the round!
gwent_message_round_won_sub;Placeholder
gwent_message_scoia_desc;Choose who will start the next round
gwent_message_scoia_desc_timer;Choose who will start the next round / {0} seconds left
gwent_message_scoia_title;Scoia'tael Faction Ability triggered
gwent_message_scoiatael_ability_main;Faction Ability
gwent_message_scoiatael_ability_sub;Opponent decides who goes first
gwent_message_skellige_ability_opponent_main;Skellige Faction Ability Triggered
gwent_message_skellige_ability_opponent_sub;Opponent draws a card from their graveyard
gwent_message_skellige_ability_player_main;Placeholder
gwent_message_skellige_ability_player_sub;Placeholder
gwent_message_skellige_ability_you_main;Skellige Faction Ability Triggered
gwent_message_skellige_ability_you_sub;Draw a card from your graveyard
gwent_message_starting_round_three;Starting the FINAL round!
gwent_message_starting_round_two;Starting Round 2!
gwent_message_top_player_discarding_cards_main;Red is redrawing
gwent_message_top_player_making_decision_main;Red is deciding
gwent_message_your_turn_coin;YOUR TURN
gwent_message_your_turn_main;Your turn
gwent_message_your_turn_sub;Placeholder
gwent_monster_ability_opp_main;Monsters Faction Ability triggered
gwent_monster_ability_opp_sub;This unit stays on the battlefield.
gwent_monster_ability_you_main;Monsters Faction Ability triggered
gwent_monster_ability_you_sub;This unit stays on the battlefield.
gwent_monster_faction_ability_triggered;This unit stays on the battlefield.
gwent_more_units;Not enough Unit Cards.
gwent_nilfgaard_ability_triggered;Nilfgaard Faction Ability triggered - Nilfgaard wins the tie.
gwent_northern_ability_trig_msg;Northern Realms draws an additional card
gwent_northern_ability_trig_title;Northern Realms Faction Ability triggered
gwent_northern_ability_triggered;Northern Realms Faction Ability triggered - North draws an additional card.
gwent_ok;OK
gwent_opponent_passed_turn;Your opponent passed
gwent_opponent_turn_start_message;Opponent's turn
gwent_opponent_will_go_first;Your opponent goes first
gwent_opponent_won_round;Your opponent won the round
gwent_pc_closed_beta;Public Beta
gwent_play_for_free_label;PLAY for FREE
gwent_player_counter_leader;Your Leader cancels your opponent's Leader Ability.
gwent_player_passed_element;Passed
gwent_player_passed_turn;Round passed
gwent_player_turn_start_message;Your turn!
gwent_player_will_go_first_message;You go first
gwent_player_won_round;You won the round!
gwent_please_wait;Please Wait
gwent_quit_question;Do you want to quit?
gwent_quit_title;Quit
gwent_rematch_start;Rematch!
gwent_rewards_intro;SPOILS OF WAR
gwent_round;Round
gwent_round_start;Round Start
gwent_saving_deck;Saving deck
gwent_saving_deck_error_desc;Network error encountered while saving deck. Please check your Internet connection and try again.
gwent_saving_deck_error_title;Error While Saving Deck
gwent_scoiatael_faction_ability_title;Would you like to play first this round?
gwent_sharing_deck_error_desc;Couldn't generate a unique share link. Please try again later.
gwent_sharing_deck_error_title;Oops! Something went wrong.
gwent_sharing_deck_title;Sharing in progress...
gwent_special_card_limit;Special Card limit reached
gwent_top_victory_title;Red wins the game
gwent_victory_title;Victory
gwent_waiting_for_second_player;Waiting for the other player
gwent_xbox_one_preview;Xbox One Preview
hero_cards;Placeholder
highest_rank_profile_panel;Highest
hold_pass;HOLD TO PASS
holiday_djenge_name;Djenge Frett
holiday_djenge_title;Bounty Hunter
holiday_event_encounter_completed;Challenge Completed
holiday_event_ended_popup_text;The ale's run dry and the fest is over. But fear not! There's always next time!
holiday_event_panel_easy_mode_description;Pull up a chair, join the fun!
holiday_event_panel_easy_mode_title;Standard Mode
holiday_event_panel_ends_in;Event ends in {0}
holiday_event_panel_hard_mode_description;Want more challenging Challenges? We've got a Mode for that!
holiday_event_panel_hard_mode_title;Expert Mode
holiday_event_panel_view_encounter_rewards;Show Rewards
holiday_jotun_name;Jotunn
holiday_jotun_title;King of Giants
holiday_panel_hardmode_popup_text;Nice work! If you're hungry for a greater challenge and more rewards, test your skills in Expert Mode.
holiday_panel_hardmode_popup_title;Expert Mode Unlocked!
holiday_panel_intro_popup_text;To celebrate the arrival of Midwinter, Shupe the Troll is making a special Holiday Bag o’ Kegs available in his shop for a limited time.\n\nEach one you get will grant you:\n\n25x Card Kegs – Every keg contains 5 cards, 1 guaranteed to be Rare or better!\n1x Animated Epic Card – Choose 1 of 3 random animated Epic cards to add to your collection!\n400x Meteorite Powder — Use it to transmute cards into their animated versions!\n\nThe Holiday Bag o’ Kegs goes out of stock on January 4th.
holiday_panel_intro_popup_title;Shupe's Holiday Bag o' Kegs
holiday_phoenix_name;Phoenix
holiday_phoenix_title;Mythical Creature
holiday_popup_continue;Continue
holiday_rewards_panel_title;Rewards for Completing Challenge
http_code;Error Code:
in_progress;Transaction in progress, waiting for external payment provider to finalize payment. Transaction will finish in the background.
in_progress_title;Finalizing Transaction
input_accept_deck_validation_popup;Accept
input_accept_error_loading_decks;Accept
input_accept_forfeit;Forfeit
input_accept_menu;Accept
input_accept_name;Set Name
input_accept_season_rewards;Placeholder
input_accept_selected_taunt;Select Taunt
input_accept_selected_transactions;Placeholder
input_accept_settings;Accept
input_accept_simple_popup;Accept
input_accept_simple_popup2;YES
input_accept_transaction;Play
input_accept_transaction_db;Add card
input_auto_play_card;Placeholder
input_auto_play_card_on_preview_board;Placeholder
input_back_from_settings;Back
input_back_to_deck_picker;Save and exit
input_back_to_deck_selecting;Back
input_back_to_edit_deck;Back to Edit Deck
input_back_to_main_menu;Back To Main Menu
input_back_to_settings;Back
input_booth_cheat_entered;Placeholder
input_buy_selected_product;BUY
input_call_leader;Use Leader Ability
input_cancel_choice;Cancel
input_cancel_find_opponent;Cancel
input_cancel_matchmaking;Cancel
input_cancel_menu;Cancel
input_cancel_name;Cancel
input_cancel_p_w_f_get_lobby;Placeholder
